S/N,Date,Tweet
486,26/6/17,July 2nd playing my first gig in 2017!! Can't wait to see my fans in DC at the Echo stage!! Ur boy back baby!! 🚀🚀🚀
487,7/7/17,Nigeria 2017!!! 4 stadiums! We give back all profits made to our people in each state. ❤️
488,20/12/16,2017! Year of the wizard! 😈.
489,1/1/17,Came into 2017 without my heart!!issa vibe!! 🔥🔫
490,1/10/17,Ehn!! If u no get money ? hide ur face!! 😂🔥 but forget! Na wo get 2017 abeg abeg!
491,7/1/17,Me and the brudda Ty made more bangers with DJ Mustard!! 2017 will be a special one!! 🔥
492,4/1/17,2017 will be the one to remember !!!
493,25/12/16,2017!!! I can't wait! I got 2!! 😩
494,7/4/17,2017! Asap! 🙏🏾
495,31/3/17,My brother @beatsbysarz one of the best i ever worked with. My man 2017 your year!! 🔥🔥🔥🔊🔊🔊🎬🎬🎬
496,31/12/09,I love evry1 I met in 09...love u guyzzz so much...2010 shall be a better year...ya'll holla @ ya boi!..
