S/N,Date,Tweet
351,27-10-2023,STREET NO GET MEMORY
352,27-10-2023,The level of ungratefulness is alarming … lesson learnt
353,27-10-2023,"I never got paid for that also my 3 verses I’ve gifted you all your dead careeer … .. oh yea plus my royalties , we charge now so that’s about  $150 k x3 a verse.. also house rent and food when when u stayed in my house in Atlanta when you were homeless .. ⏳"
354,26-10-2023,"HELLO 🇺🇸 THE KELLY CLARKSON SHOW TOMORROW 🌎⏳❤️ 
@KellyClarksonTV"
355,26-10-2023,That Tik toker  wey dem catch with drug …. The way him face wey shock … nah like that year for secondary school wen ur parents come collect result for school and u sef know say u no read 😂
356,26-10-2023,This one must sweet me
357,26-10-2023,Make nobody beg me … ⏳ …
358,26-10-2023,GHEN GHEN
359,25-10-2023,Oya na 💨
360,25-10-2023,Fans … that care ❤️🙏🏾 🥰
361,25-10-2023,Sensational challenge … 🌎 gonna do mine today
362,25-10-2023,JOY IS COMING 😊🌎
363,25-10-2023,BULLETPROOF ⏳
364,24-10-2023,Need to learn this 😢
365,24-10-2023,Production for AWAY fest .. Top tier
366,24-10-2023,Cross river … Calabar
367,23-10-2023,"WE BRINGING THE SHOWS BACK HOME TO CLOSE OUT THE YEAR!⁣
⁣
NIGERIA THEM GO FEEL IT!!!! 30BG WE COMING!!!!⁣
⁣
OBO BADDEST 001 LETS DO THIS RIGHT!⁣ ⏳"
368,21-10-2023,"Seeing the way Afrobeats have changed the world and the impact we’ve had in music is beautiful! To see how respected and cherished our culture has become makes me so proud. 

Let’s make sure we protect it and keep building a borderless music world 🌎 ⏳ 
@abcnews"
369,19-10-2023,😂😂😂😂 SABALI
370,18-10-2023,Lool u killed that role ! Keep it up 🙏🏾❤️
371,18-10-2023,SHE Must be Obeyed on prime 👍🏾 .. I def wanna executive produce a film or a series in the near future …
372,18-10-2023,Timeless ⏳
373,18-10-2023,The irony 😂😂😂
374,18-10-2023,Morning gang ! 🌎⏳❤️
375,18-10-2023,Thank you love ❤️ but  I actually don’t know who you are .. and it was an honest mistake .. no vex .
376,16-10-2023,"This that one 💿🌎💆‍♂️
⏳😈"
377,16-10-2023,"The 
@dreamcatchersDA
 bodied the dance for FEEL so much that I needed to link up with them ⏳

These kids are changing the music world everyday we need this type of energy 🌎"
378,16-10-2023,Got something special for the world Friday!!
379,15-10-2023,Pushing boundaries with Global music 🌎❤️⏳🧠💿 how was your weekend???
380,15-10-2023,Hits different 🥰
381,15-10-2023,Cry till thy kingdom come cry till 2031 
382,11-10-2023,"Wats good these days on Netflix or prime , Apple TV ??"
383,11-10-2023,Stop circulating old pictures thank you ❤️
384,8-10-2023,Gonna be the best week of my life … 🥰😇 Amen
385,8-10-2023,This life no favor good Pple sometimes .. lessons learnt
386,8-10-2023,Nah today ?
387,8-10-2023,Thanks for all the hospitality my brother … can’t wait for you to home 🇳🇬 so I can do the same
388,8-10-2023,It’s gonna be an amazing week ⏳🥰
389,7-10-2023,Brought back too many memories ❤️
390,7-10-2023,Dem go FEEL it
391,7-10-2023,New Zealand 🇳🇿 was amazing !!! ⏳💨❤️
392,7-10-2023,NOBODY CAN STOP ME FROM PERFORMING-ANYWHERE IN NIGERIA … WARRI I WILL SEE YOU SOON . ❤️
393,7-10-2023,Throwing stones but u Dey live for glass house …
394,7-10-2023,New Zealand 🇳🇿 tonight 💨⏳
395,5-10-2023,AMAZING 😇
396,4-10-2023,What video next ? ⏳
397,4-10-2023,Sayyyy them go?!
398,2-10-2023,"AUSTRALIA!! Thank you for your welcome! 

Promiseland!! Thank you for your energy. 

The TIMELESS moments we spent together will never be forgotten. ❤️ you Gold Coast⏳"
399,2-10-2023,I need mop
400,2-10-2023,Nawa oooo Una love me sha … see Wetin small trailer cause …
401,2-10-2023,I need cane
402,2-10-2023,ASA READY FOR UNA TODAY 😂
403,2-10-2023,24 hours ⏳
404,2-10-2023,I WANT ALL THE 💨💨💨
405,2-10-2023,ILEBAYE ….I love a success story !
406,30-9-2023,😈 easy on me !!!!
407,29-9-2023,We no Dey rush for here
408,29-9-2023,After 23 hours of flying … finally in Australia 🇦🇺…. 😮‍💨
409,29-9-2023,Bingo who release u from cage today 🐕 from today ur new name is Bingo … stop distracting me I’m counting money.
410,29-9-2023,U mean the former governor ?
411,29-9-2023,Mumu Pple everywhere …. Anyways Boutta land Australia 🇦🇺 n make a million dollars … convert that . Goodnight 💪🏾🔥⏳
412,29-9-2023,Me wey humble politics lol ask around
